player,nation,position,squad,competition,age,born,90s,yellow_cards,red_cards,second_yellowcards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerial_won%
Tom Louchet,FRA,"DF,MF",Nice,Ligue 1,21,2003,8.6,1,0,0,8,9,0,35,18,17,0,0,0,36,11,3,78.6
Sandi Lovrić,SVN,MF,Udinese,Serie A,26,1998,25.6,5,0,0,54,34,0,90,22,29,1,0,0,118,1,17,5.6
Pol Lozano,ESP,MF,Espanyol,La Liga,24,1999,21.6,12,0,0,56,14,0,19,22,34,0,0,0,86,10,16,38.5
Lorenzo Lucca,ITA,FW,Udinese,Serie A,23,2000,26.1,10,0,0,65,55,16,5,7,6,0,0,0,44,59,68,46.5
Jhon Lucumí,COL,DF,Bologna,Serie A,26,1998,29,8,1,0,22,16,0,4,26,30,0,1,0,176,45,45,50
Yannik Lührs,GER,DF,Dortmund,Bundesliga,20,2003,1.4,0,0,0,2,0,0,0,2,1,0,0,0,5,4,1,80
José Luis Gayà,ESP,DF,Valencia,La Liga,29,1995,20,7,0,0,28,14,3,84,25,40,0,0,0,93,10,11,47.6
José Luis Palomino,ARG,DF,Cagliari,Serie A,34,1990,12,3,0,0,11,2,0,0,22,15,0,1,0,50,16,12,57.1
Douglas Luiz,BRA,MF,Juventus,Serie A,26,1998,5.9,2,0,0,14,7,0,26,4,8,0,1,0,31,5,4,55.6
Romelu Lukaku,BEL,FW,Napoli,Serie A,31,1993,31.6,4,0,0,47,36,24,4,1,2,0,0,0,34,42,56,42.9
Castello Lukeba,FRA,DF,RB Leipzig,Bundesliga,21,2002,17.5,2,0,0,12,15,0,11,17,17,0,0,0,74,26,13,66.7
Dodi Lukebakio,BEL,FW,Sevilla,La Liga,26,1997,34.4,3,1,0,39,55,27,124,11,14,0,0,0,120,18,21,46.2
Saša Lukić,SRB,MF,Fulham,Premier League,27,1996,26,12,0,0,66,26,0,62,28,39,0,1,0,109,19,25,43.2
Milos Lukovic,SRB,"FW,MF",Strasbourg,Ligue 1,18,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Joe Lumley,ENG,GK,Southampton,Premier League,29,1995,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,66.7
Daniel Luna,COL,MF,Mallorca,La Liga,21,2003,0.2,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,
