player,nation,position,squad,competition,age,born,90s,yellow_cards,red_cards,second_yellowcards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerial_won%
Daniel Podence,POR,"MF,FW",Wolves,Premier League,28,1995,0.5,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0
Joel Pohjanpalo,FIN,FW,Venezia,Serie A,29,1994,17.8,1,0,0,12,15,10,3,4,3,1,0,0,20,46,59,43.8
Matteo Politano,ITA,"FW,MF",Napoli,Serie A,30,1993,31.2,3,0,0,14,31,6,229,13,15,1,0,0,95,6,20,23.1
Alfie Pond,ENG,DF,Wolves,Premier League,20,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Marin Pongračić,CRO,DF,Fiorentina,Serie A,26,1997,14.4,3,1,1,26,7,0,1,12,13,0,0,1,73,25,11,69.4
Nick Pope,ENG,GK,Newcastle Utd,Premier League,32,1992,28,2,0,0,2,5,0,0,1,0,0,2,0,24,11,1,91.7
Finn Porath,GER,"DF,MF",Holstein Kiel,Bundesliga,27,1997,21.9,3,0,0,31,37,0,84,21,26,0,0,0,79,26,25,51
Pedro Porro,ESP,DF,Tottenham,Premier League,24,1999,29,5,0,0,25,33,1,196,36,49,0,0,0,152,12,23,34.3
Portu,ESP,"FW,MF",Girona,La Liga,32,1992,8.7,4,0,0,14,10,7,26,0,7,0,0,0,24,10,12,45.5
Stefan Posch,AUT,DF,Bologna,Serie A,27,1997,7.9,1,0,0,16,17,1,18,5,15,0,0,0,43,13,8,61.9
Stefan Posch,AUT,DF,Atalanta,Serie A,27,1997,4.3,0,0,0,11,0,0,5,4,11,0,0,0,22,4,6,40
Tom Pouilly,FRA,"DF,MF",Lens,Ligue 1,21,2003,3,1,0,0,3,2,0,11,4,6,0,0,0,16,0,4,0
Yussuf Poulsen,DEN,"FW,MF",RB Leipzig,Bundesliga,30,1994,4.2,1,0,0,8,14,1,2,0,5,0,0,0,16,27,11,71.1
Beñat Prados,ESP,MF,Athletic Club,La Liga,23,2001,19.1,7,0,0,40,15,0,9,28,36,0,0,0,91,29,22,56.9
Alexander Prass,AUT,DF,Hoffenheim,Bundesliga,23,2001,17.4,1,0,0,17,25,0,54,9,23,1,0,0,92,15,19,44.1
Matteo Prati,ITA,MF,Cagliari,Serie A,20,2003,6.3,1,0,0,8,6,0,5,7,4,0,0,0,24,1,6,14.3
Abdón Prats,ESP,"FW,MF",Mallorca,La Liga,31,1992,5.1,4,0,0,6,19,2,0,1,1,1,0,0,13,19,32,37.3
David Preu,GER,"MF,DF",Union Berlin,Bundesliga,19,2004,1.3,1,0,0,1,1,1,4,0,1,0,0,0,4,0,3,0
Grischa Prömel,GER,MF,Hoffenheim,Bundesliga,29,1995,1.9,0,0,0,0,3,0,2,2,0,0,0,0,7,1,3,25
Ivan Provedel,ITA,GK,Lazio,Serie A,30,1994,29,0,0,0,0,5,0,0,1,0,0,0,0,44,7,1,87.5
Ivan Prtajin,CRO,FW,Union Berlin,Bundesliga,28,1996,1.8,0,0,0,1,1,2,3,0,2,0,0,0,4,10,17,37
Javi Puado,ESP,"FW,MF",Espanyol,La Liga,26,1998,33,8,0,0,22,27,6,27,5,17,1,0,0,105,9,30,23.1
Tymoteusz Puchacz,POL,DF,Holstein Kiel,Bundesliga,25,1999,4.4,0,0,0,2,7,1,37,3,4,0,0,0,32,4,4,50
Diego Pugno,ITA,FW,Juventus,Serie A,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
Christian Pulisic,USA,"FW,MF",Milan,Serie A,25,1998,27.5,1,0,0,20,37,3,119,5,29,1,0,0,94,11,42,20.8
Jarell Quansah,ENG,DF,Liverpool,Premier League,21,2003,5.5,2,0,0,9,1,0,2,7,8,0,1,1,19,7,10,41.2
Leopold Querfeld,AUT,DF,Union Berlin,Bundesliga,20,2003,19.4,8,0,0,20,13,0,0,19,12,0,1,0,66,65,54,54.6
Dani Raba,ESP,"FW,MF",Leganés,La Liga,28,1995,20.9,6,0,0,40,56,9,90,14,23,1,0,0,90,5,15,25
Adrien Rabiot,FRA,MF,Marseille,Ligue 1,29,1995,27.6,4,0,0,53,33,12,40,21,31,0,1,0,124,34,26,56.7
Ionuț Radu,ROU,GK,Venezia,Serie A,27,1997,15,1,0,0,0,1,0,0,0,0,0,0,0,20,1,0,100
Hamza Rafia,TUN,MF,Lecce,Serie A,25,1999,11.8,4,0,0,26,25,0,45,4,27,0,0,0,62,5,13,27.8
Hákon Rafn Valdimarsson,ISL,GK,Brentford,Premier League,22,2001,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100
Arnau Rafús,ESP,GK,Valladolid,La Liga,21,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Antonio Raillo,ESP,DF,Mallorca,La Liga,32,1991,35.6,7,1,0,50,9,2,3,29,18,0,0,0,104,132,84,61.1
Antonio Raimondo,ITA,"FW,DF",Venezia,Serie A,20,2004,1,0,0,0,2,1,1,1,0,1,0,0,0,4,1,6,14.3
Ylber Ramadani,ALB,MF,Lecce,Serie A,28,1996,20.1,4,0,0,18,11,0,6,24,28,0,0,0,117,15,25,37.5
Benito Ramírez,ESP,"DF,FW",Las Palmas,La Liga,29,1995,5.3,2,1,0,5,8,0,39,1,5,0,0,0,32,4,11,26.7
Sandro Ramírez,ESP,"FW,MF",Las Palmas,La Liga,29,1995,22.6,6,0,0,26,43,5,122,16,15,1,1,0,93,12,16,42.9
Jacobo Ramón,ESP,DF,Real Madrid,La Liga,19,2005,2.3,1,0,0,2,1,0,0,3,3,0,0,0,5,8,7,53.3
Gonçalo Ramos,POR,FW,Paris S-G,Ligue 1,23,2001,11.8,1,0,0,8,11,9,1,0,6,1,0,0,18,20,15,57.1
Aaron Ramsdale,ENG,GK,Southampton,Premier League,26,1998,30,2,0,0,1,4,0,0,2,0,0,0,0,23,6,0,100
Jacob Ramsey,ENG,"FW,MF",Aston Villa,Premier League,23,2001,18,4,1,1,13,28,5,12,8,15,1,0,0,83,7,13,35
Luca Ranieri,ITA,DF,Fiorentina,Serie A,25,1999,33.1,7,0,0,24,22,1,9,27,24,0,1,0,95,48,56,46.2
Grant Ranos,ARM,FW,Gladbach,Bundesliga,21,2003,0.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Lilian Raolisoa,FRA,"DF,FW",Angers,Ligue 1,24,2000,14.6,1,2,0,16,9,3,77,15,24,0,1,0,76,15,11,57.7
Raphinha,BRA,"FW,MF",Barcelona,La Liga,27,1996,31.5,4,0,0,11,37,10,215,11,22,2,0,0,94,9,6,60
Marcus Rashford,ENG,"FW,MF",Manchester Utd,Premier League,26,1997,10.9,2,0,0,8,7,7,27,4,4,0,0,0,24,5,7,41.7
Marcus Rashford,ENG,FW,Aston Villa,Premier League,26,1997,4.9,0,0,0,1,3,1,28,1,7,0,0,0,14,1,8,11.1
Giacomo Raspadori,ITA,"FW,MF",Napoli,Serie A,24,2000,12.3,1,0,0,12,20,1,67,3,9,0,0,0,43,5,11,31.3
Andrei Ratiu,ROU,DF,Rayo Vallecano,La Liga,26,1998,34.1,5,0,0,24,21,5,77,27,41,0,0,0,169,20,33,37.7
Raúl,ESP,"FW,MF",Osasuna,La Liga,23,2000,8.3,1,0,0,11,12,6,6,0,8,0,0,0,14,20,22,47.6
David Raum,GER,DF,RB Leipzig,Bundesliga,26,1998,19.8,5,0,0,23,10,6,188,9,28,0,0,0,92,13,20,39.4
Federico Ravaglia,ITA,GK,Bologna,Serie A,24,1999,11.7,0,0,0,0,4,0,0,0,0,0,0,0,16,4,0,100
Rayan Raveloson,MAD,"MF,DF",Auxerre,Ligue 1,27,1997,8,3,0,0,9,12,0,8,5,5,0,0,0,44,8,9,47.1
David Raya,ESP,GK,Arsenal,Premier League,28,1995,38,3,0,0,1,10,0,0,2,0,0,1,0,41,13,0,100
Abderrahman Rebbach,ALG,"FW,MF",Alavés,La Liga,25,1998,4.3,1,0,0,5,6,2,17,0,2,0,0,0,16,1,11,8.3
Ante Rebić,CRO,"FW,MF",Lecce,Serie A,30,1993,8.8,3,2,0,19,14,7,32,2,9,0,0,0,33,27,37,42.2
Harrison Reed,ENG,MF,Fulham,Premier League,29,1995,1.2,2,0,0,6,2,0,6,1,3,0,1,0,10,1,2,33.3
Remy Rees-Dottin,ENG,FW,Bournemouth,Premier League,18,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sergio Reguilón,ESP,DF,Tottenham,Premier League,27,1996,2.2,2,0,0,2,6,0,12,4,3,0,0,0,14,5,2,71.4
Tijjani Reijnders,NED,MF,Milan,Serie A,26,1998,34.8,2,1,0,28,22,2,46,38,13,1,0,0,125,5,15,25
Pepe Reina,ESP,GK,Como,Serie A,41,1982,11.5,0,1,0,1,1,0,0,0,0,0,0,0,11,1,0,100
Vitor Reis,BRA,DF,Manchester City,Premier League,18,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rocco Reitz,GER,MF,Gladbach,Bundesliga,22,2002,20.3,1,0,0,20,38,0,22,53,24,0,0,0,94,18,16,52.9
Nicolai Remberg,GER,MF,Holstein Kiel,Bundesliga,24,2000,26.9,11,0,0,43,46,2,8,29,25,0,0,2,101,86,52,62.3
Álex Remiro,ESP,GK,Real Sociedad,La Liga,29,1995,36,0,0,0,0,6,0,0,0,0,0,0,0,64,5,0,100
Devyne Rensch,NED,DF,Roma,Serie A,21,2003,5.2,0,0,0,1,7,1,11,7,13,0,0,0,13,10,7,58.8
Daniel Requena,ESP,MF,Villarreal,La Liga,20,2004,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Guillaume Restes,FRA,GK,Toulouse,Ligue 1,19,2005,28.3,2,0,0,1,2,0,0,1,1,0,1,0,50,0,1,0
Mateo Retegui,ITA,FW,Atalanta,Serie A,25,1999,26.5,3,0,0,32,34,6,15,4,9,2,0,0,69,51,68,42.9
Elvis Rexhbeçaj,KVX,MF,Augsburg,Bundesliga,26,1997,19.8,8,0,0,13,42,1,71,16,19,0,0,0,85,10,19,34.5
Gio Reyna,USA,MF,Dortmund,Bundesliga,21,2002,3.9,3,0,0,8,3,0,15,0,0,0,0,0,19,7,6,53.8
Chadi Riad,MAR,DF,Crystal Palace,Premier League,21,2003,1,0,0,0,1,0,0,0,2,2,0,0,0,4,2,4,33.3
Alexsandro Ribeiro,BRA,DF,Lille,Ligue 1,24,1999,30,10,0,0,28,32,2,8,27,19,0,1,1,175,64,25,71.9
Samuele Ricci,ITA,MF,Torino,Serie A,22,2001,31.4,8,1,0,38,70,0,30,25,21,0,0,0,130,14,15,48.3
Declan Rice,ENG,MF,Arsenal,Premier League,25,1999,31.4,7,1,1,21,16,2,164,25,25,0,0,0,156,37,25,59.7
Chris Richards,USA,DF,Crystal Palace,Premier League,24,2000,21.4,4,1,1,11,5,1,5,19,30,1,0,0,51,47,41,53.4
Amir Richardson,MAR,MF,Fiorentina,Serie A,22,2002,11.4,6,0,0,30,19,1,5,6,13,0,0,0,51,19,16,54.3
Richarlison,BRA,FW,Tottenham,Premier League,27,1997,5.6,2,0,0,7,13,3,7,0,3,0,0,0,11,10,23,30.3
Diego Rico,ESP,DF,Getafe,La Liga,31,1993,31.3,9,1,0,38,56,3,148,34,49,1,0,0,132,26,19,57.8
Fabian Rieder,SUI,"MF,FW",Stuttgart,Bundesliga,22,2002,9.6,1,0,0,14,11,0,39,10,14,1,0,0,45,4,13,23.5
Lasse Rieß,GER,GK,Mainz 05,Bundesliga,23,2001,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
Luis Rioja,ESP,FW,Alavés,La Liga,30,1993,0.3,0,0,0,1,1,0,6,0,1,0,0,0,1,0,0,
Luis Rioja,ESP,"MF,FW",Valencia,La Liga,30,1993,31.5,6,0,0,18,38,11,203,22,21,0,0,0,111,15,22,40.5
Rodrigo Riquelme,ESP,"MF,DF",Atlético Madrid,La Liga,24,2000,5.7,0,0,0,8,8,4,34,2,5,0,0,0,21,3,3,50
Alberto Risco,ESP,"MF,FW",Getafe,La Liga,18,2005,0.8,0,0,0,1,2,0,4,0,4,0,0,0,5,1,3,25
Mihailo Ristić,SRB,"DF,MF",Celta Vigo,La Liga,28,1995,4.8,1,0,0,8,2,0,13,2,7,0,0,0,17,3,9,25
Lars Ritzka,GER,"DF,MF",St. Pauli,Bundesliga,26,1998,10.2,1,0,0,10,6,1,19,11,29,0,0,0,35,7,22,24.1
Gorka Rivera Alonso,ESP,"DF,MF",Getafe,La Liga,19,2004,0.2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
Sergi Roberto,ESP,MF,Como,Serie A,32,1992,7.7,4,0,0,7,14,0,6,9,8,0,2,0,48,7,9,43.8
Andrew Robertson,SCO,DF,Liverpool,Premier League,30,1994,27.6,3,1,0,11,8,3,147,21,22,0,1,1,105,7,14,33.3
Antonee Robinson,USA,DF,Fulham,Premier League,26,1997,35.2,8,0,0,31,20,7,170,62,61,0,0,0,157,50,26,65.8
Jay Robinson,ENG,"MF,FW",Southampton,Premier League,17,2007,1.5,0,0,0,3,1,0,1,0,1,0,0,0,12,0,1,0
Marc Roca,ESP,MF,Betis,La Liga,27,1996,10.1,4,0,0,16,5,0,10,14,14,0,0,0,51,5,13,27.8
Rodri,ESP,MF,Manchester City,Premier League,28,1996,0.8,0,0,0,1,2,0,0,1,1,0,0,0,7,1,0,100
Rodri,ESP,FW,Betis,La Liga,24,2000,1.3,0,0,0,2,2,1,6,1,1,0,0,0,10,0,2,0
Adrian Rodriguez,ESP,GK,Alavés,La Liga,23,2000,1.4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,
Alejandro Rodriguez,POR,MF,Lyon,Ligue 1,16,2008,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0
Álvaro Rodríguez,URU,FW,Getafe,La Liga,20,2004,9.5,6,0,0,30,19,6,5,3,7,0,0,0,31,104,84,55.3
Óscar Rodríguez Arnaiz,ESP,"MF,FW",Leganés,La Liga,26,1998,14.8,6,1,0,19,25,1,55,20,17,1,1,0,56,12,24,33.3
Arturo Rodríguez,ESP,FW,Las Palmas,La Liga,17,2006,0.2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0
Damián Rodríguez,ESP,MF,Celta Vigo,La Liga,21,2003,10.3,3,0,0,13,9,0,30,7,9,0,0,0,49,0,4,0
Dani Rodríguez,ESP,"MF,FW",Mallorca,La Liga,36,1988,24,5,0,0,51,40,8,116,12,29,0,0,0,70,27,37,42.2
Daniel Rodriguez,ESP,FW,Barcelona,La Liga,18,2005,0.4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,
Guido Rodríguez,ARG,MF,West Ham,Premier League,30,1994,12.8,6,0,0,18,12,2,5,13,19,0,0,0,53,11,7,61.1
James Rodríguez,COL,"MF,FW",Rayo Vallecano,La Liga,33,1991,1.6,1,0,0,2,1,3,13,1,2,0,0,0,8,2,3,40
Javi Rodríguez,ESP,DF,Celta Vigo,La Liga,21,2003,27.9,7,0,0,37,22,0,4,33,38,0,0,0,87,40,35,53.3
Jesus Rodríguez,ESP,FW,Betis,La Liga,18,2005,12.3,0,0,0,17,38,2,18,6,14,1,0,0,58,3,8,27.3
Kirian Rodríguez,ESP,MF,Las Palmas,La Liga,28,1996,19.5,2,0,0,9,18,0,18,10,17,0,0,0,100,13,17,43.3
Ricardo Rodríguez,SUI,DF,Betis,La Liga,31,1992,14.2,0,0,0,12,6,0,15,8,15,0,0,0,55,27,17,61.4
Rodrygo,BRA,"FW,MF",Real Madrid,La Liga,23,2001,21.4,0,0,0,8,37,1,81,11,14,1,0,0,71,7,16,30.4
Mads Roerslev,DEN,DF,Brentford,Premier League,25,1999,12.2,2,0,0,6,10,0,31,4,8,0,0,0,39,10,14,41.7
Mads Roerslev,DEN,DF,Wolfsburg,Bundesliga,25,1999,3.3,0,0,0,2,3,0,7,5,9,0,0,0,8,2,7,22.2
Morgan Rogers,ENG,"FW,MF",Aston Villa,Premier League,22,2002,34.6,10,0,0,50,51,2,27,6,22,1,0,0,119,13,52,20
Merlin Röhl,GER,"MF,FW",Freiburg,Bundesliga,22,2002,10.7,2,0,0,21,19,0,12,6,10,0,0,0,49,14,34,29.2
Alessio Romagnoli,ITA,DF,Lazio,Serie A,29,1995,29.7,4,2,0,29,14,2,0,26,29,0,0,0,96,84,47,64.1
Leo Román,ESP,GK,Mallorca,La Liga,24,2000,7,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,
Carlos Romero,ESP,DF,Espanyol,La Liga,22,2001,28.4,7,0,0,34,21,1,92,30,47,0,2,0,125,14,24,36.8
Cristian Romero,ARG,DF,Tottenham,Premier League,26,1998,15.7,3,0,0,14,12,2,3,21,29,0,0,0,90,41,27,60.3
Isaac Romero,ESP,FW,Sevilla,La Liga,24,2000,24,10,1,0,38,37,11,18,7,7,1,1,0,59,29,51,36.3
Luka Romero,ARG,"FW,MF",Alavés,La Liga,19,2004,2.2,0,0,0,3,3,1,10,1,4,1,0,0,9,2,4,33.3
Oriol Romeu,ESP,MF,Girona,La Liga,32,1991,15.1,5,0,0,28,18,0,8,12,25,0,1,0,71,13,18,41.9
Valentin Rongier,FRA,"MF,DF",Marseille,Ligue 1,29,1994,17.4,5,0,0,37,14,0,7,33,28,0,1,0,86,13,11,54.2
Marten de Roon,NED,"MF,DF",Atalanta,Serie A,33,1991,34,5,0,0,48,22,1,28,47,48,0,0,0,140,46,29,61.3
Vitor Roque,BRA,FW,Betis,La Liga,19,2005,13.7,4,0,0,30,30,5,6,7,6,2,0,0,35,15,29,34.1
Pablo Rosario,DOM,"MF,DF",Nice,Ligue 1,27,1997,19.7,6,1,0,24,10,0,3,31,20,0,0,0,60,24,16,60
Lasse Rosenboom,GER,DF,Holstein Kiel,Bundesliga,22,2002,19.3,3,0,0,19,12,0,18,19,35,0,0,0,57,30,39,43.5
Max Rosenfelder,GER,DF,Freiburg,Bundesliga,21,2003,13.9,2,0,0,9,14,1,9,7,17,0,2,0,60,12,22,35.3
Valentin Rosier,FRA,DF,Leganés,La Liga,27,1996,28.8,8,0,0,44,18,8,39,52,52,0,0,0,121,26,17,60.5
Tom Rothe,GER,"DF,MF",Union Berlin,Bundesliga,19,2004,18.6,4,1,0,25,11,2,46,18,28,1,0,0,77,43,44,49.4
Anthony Rouault,FRA,DF,Rennes,Ligue 1,23,2001,10.8,3,0,0,7,1,1,0,8,8,0,0,0,48,28,15,65.1
Anthony Rouault,FRA,DF,Stuttgart,Bundesliga,23,2001,13.5,1,0,0,18,8,0,1,19,11,0,0,0,63,33,21,61.1
Jonas Rouhi,SWE,DF,Juventus,Serie A,20,2004,2.3,0,0,0,4,2,0,3,3,1,0,0,0,15,0,4,0
Jérôme Roussillon,FRA,"DF,MF",Union Berlin,Bundesliga,31,1993,1.5,0,0,0,1,3,0,10,2,0,0,0,0,2,2,2,50
Nicolò Rovella,ITA,MF,Lazio,Serie A,22,2001,30.2,13,0,0,43,33,2,37,47,50,0,0,0,154,11,19,36.7
Jon Rowe,ENG,"FW,MF",Marseille,Ligue 1,21,2003,9,2,0,0,14,26,6,28,2,11,0,0,0,21,7,14,33.3
Amir Rrahmani,KVX,DF,Napoli,Serie A,30,1994,37.8,2,0,0,42,16,0,1,27,31,0,0,1,135,124,55,69.3
Tommaso Rubino,ITA,MF,Fiorentina,Serie A,17,2006,0.1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,
Antonio Rüdiger,GER,DF,Real Madrid,La Liga,31,1993,25.5,3,0,0,15,15,2,4,9,13,2,1,0,102,35,24,59.3
Matteo Ruggeri,ITA,DF,Atalanta,Serie A,22,2002,19.5,2,0,0,12,5,2,82,22,24,0,0,0,124,23,15,60.5
Aitor Ruibal,ESP,"DF,FW",Betis,La Liga,28,1996,14.6,5,0,0,10,18,2,32,14,23,0,0,0,71,7,13,35
Abel Ruiz,ESP,FW,Girona,La Liga,24,2000,15,3,0,0,7,13,5,4,5,2,0,0,0,21,9,19,32.1
Ferrán Ruiz,ESP,MF,Girona,La Liga,21,2003,0.2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
Fabián Ruiz Peña,ESP,MF,Paris S-G,Ligue 1,28,1996,21.4,1,0,0,6,10,5,27,16,24,0,0,0,135,5,8,38.5
Gerónimo Rulli,ARG,GK,Marseille,Ligue 1,32,1992,34,1,0,0,2,11,0,0,1,3,0,2,0,37,7,1,87.5
Georginio Rutter,FRA,"MF,FW",Brighton,Premier League,22,2002,18.4,2,0,0,34,45,7,9,10,15,0,1,0,66,25,46,35.2
Mathew Ryan,AUS,GK,Lens,Ligue 1,32,1992,14,0,0,0,0,1,0,0,1,0,0,0,0,11,4,0,100
Julian Ryerson,NOR,DF,Dortmund,Bundesliga,26,1997,25.1,6,1,1,31,23,0,110,22,30,0,0,0,120,10,23,30.3
Frederik Rønnow,DEN,GK,Union Berlin,Bundesliga,31,1992,28,2,0,0,0,4,0,0,0,0,0,0,0,32,15,0,100
José Sá,POR,GK,Wolves,Premier League,31,1993,29,2,0,0,4,9,0,0,0,2,0,4,0,37,11,1,91.7
Elias Saad,TUN,"FW,MF",St. Pauli,Bundesliga,24,1999,10,1,0,0,17,24,7,14,3,13,0,0,0,43,8,22,26.7
Youssouf Sabaly,SEN,DF,Betis,La Liga,31,1993,17.6,1,0,0,18,12,1,31,13,25,0,0,0,87,9,13,40.9
Emmanuel Sabbi,USA,"FW,MF",Le Havre,Ligue 1,26,1997,7.3,1,0,0,11,16,2,15,3,7,0,0,0,26,9,13,40.9
Stefano Sabelli,ITA,DF,Genoa,Serie A,31,1993,22.9,3,0,0,25,23,0,60,22,31,0,0,0,92,16,26,38.1
Marcel Sabitzer,AUT,MF,Dortmund,Bundesliga,30,1994,18,3,0,0,12,9,0,23,10,19,0,0,0,58,17,13,56.7
Falaye Sacko,MLI,DF,Montpellier,Ligue 1,29,1995,13.7,1,0,0,15,6,1,12,13,8,0,2,0,52,8,14,36.4
Umar Sadiq,NGA,FW,Valencia,La Liga,27,1997,9.2,4,0,0,29,16,13,0,1,5,0,0,0,14,23,19,54.8
Umar Sadiq,NGA,FW,Real Sociedad,La Liga,27,1997,2.5,1,0,0,8,1,5,2,1,1,0,0,0,5,9,11,45
Alexis Saelemaekers,BEL,"DF,FW",Roma,Serie A,25,1999,15.4,4,0,0,13,30,0,53,9,20,2,0,0,75,8,3,72.7
Alexis Saelemaekers,BEL,"DF,FW",Milan,Serie A,25,1999,1,0,0,0,0,2,0,10,1,1,0,0,0,4,0,0,
Jorge Sáenz,ESP,DF,Leganés,La Liga,27,1996,18.8,4,1,0,30,15,1,0,25,23,0,1,1,58,41,38,51.9
Matvei Safonov,RUS,GK,Paris S-G,Ligue 1,25,1999,9.8,0,0,0,0,1,0,0,1,0,0,0,0,15,0,0,
Modibo Sagnan,MLI,DF,Montpellier,Ligue 1,25,1999,23.8,10,0,0,33,12,1,1,29,35,0,1,0,90,37,39,48.7
Richie Sagrado,BEL,DF,Venezia,Serie A,20,2004,1.6,1,0,0,2,2,0,0,3,2,0,0,0,6,2,0,100
Osame Sahraoui,MAR,"FW,MF",Lille,Ligue 1,23,2001,14.4,1,0,0,8,12,1,12,7,9,0,0,0,58,0,8,0
Wesley Saïd,FRA,FW,Lens,Ligue 1,29,1995,10.1,4,0,0,22,4,7,8,2,11,0,0,0,17,10,16,38.5
Théo Sainte-Luce,FRA,DF,Montpellier,Ligue 1,25,1998,11.3,3,0,0,8,9,2,23,12,11,0,0,0,38,15,14,51.7
Bukayo Saka,ENG,"FW,MF",Arsenal,Premier League,22,2001,19.2,3,0,0,15,39,7,117,3,15,1,0,0,70,10,20,33.3
Faik Sakar,GER,MF,RB Leipzig,Bundesliga,16,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Marco Sala,ITA,DF,Como,Serie A,25,1999,2.9,3,0,0,5,1,0,9,1,6,0,0,0,11,1,2,33.3
Marco Sala,ITA,DF,Lecce,Serie A,25,1999,0.8,0,0,0,1,1,0,8,0,0,0,0,0,1,0,2,0
Ibrahim Salah,MAR,FW,Brest,Ligue 1,22,2001,4,0,0,0,6,3,2,15,2,2,0,0,0,20,1,3,25
Mohamed Salah,EGY,FW,Liverpool,Premier League,32,1992,37.5,1,0,0,25,39,18,79,9,11,0,0,0,101,9,14,39.1
Anass Salah-Eddine,NED,DF,Roma,Serie A,22,2002,1.7,0,0,0,2,1,0,6,1,1,0,0,0,6,0,1,0
Amine Salama,FRA,FW,Reims,Ligue 1,24,2000,4.1,0,0,0,2,1,5,4,1,2,0,0,0,11,2,3,40
Jan Salas,ESP,"MF,FW",Mallorca,La Liga,18,2005,0.5,0,0,0,0,3,0,1,0,1,0,0,0,2,1,0,100
Kike Salas,ESP,DF,Sevilla,La Liga,22,2002,24.9,6,0,0,21,15,0,9,32,28,0,0,0,95,77,33,70
Manolis Saliakas,GRE,"MF,DF",St. Pauli,Bundesliga,27,1996,25.7,4,0,0,16,15,0,82,20,22,1,0,0,84,14,11,56
William Saliba,FRA,DF,Arsenal,Premier League,23,2001,33.8,2,1,0,28,17,1,3,21,37,0,1,0,154,61,36,62.9
Mohammed Salisu,GHA,DF,Monaco,Ligue 1,25,1999,11.4,2,0,0,9,3,1,0,16,18,0,0,0,55,35,18,66
Roland Sallai,HUN,"FW,MF",Freiburg,Bundesliga,27,1997,0.5,0,0,0,0,1,0,4,1,1,0,0,0,0,0,1,0
Yoann Salmier,GUF,DF,Le Havre,Ligue 1,31,1992,8.9,3,0,0,8,3,0,1,10,7,0,1,0,22,20,11,64.5
Lazar Samardzic,SRB,MF,Atalanta,Serie A,22,2002,13,3,0,0,19,10,1,60,2,15,0,0,0,50,4,23,14.8
Diadie Samassékou,MLI,MF,Hoffenheim,Bundesliga,28,1996,3.2,0,0,0,5,4,0,0,5,5,0,0,0,18,3,6,33.3
Mama Samba Baldé,GNB,FW,Lyon,Ligue 1,28,1995,0.4,0,0,0,1,1,0,0,1,2,0,0,0,1,1,0,100
Mama Samba Baldé,GNB,FW,Brest,Ligue 1,28,1995,12.8,4,0,0,19,22,14,10,6,9,0,0,0,37,35,49,41.7
Brice Samba,FRA,GK,Rennes,Ligue 1,30,1994,17,3,0,0,0,1,0,0,0,1,0,0,0,25,5,0,100
Brice Samba,FRA,GK,Lens,Ligue 1,30,1994,15,1,0,0,0,2,0,0,1,0,0,0,0,22,0,0,
Albert Sambi Lokonga,BEL,MF,Sevilla,La Liga,24,1999,16.3,4,0,0,22,21,0,2,9,15,0,0,0,69,28,14,66.7
Junior Sambia,FRA,"DF,FW",Empoli,Serie A,27,1996,4.3,0,0,0,6,9,0,28,2,10,0,0,0,18,7,7,50
Chuky san jose,ESP,MF,Valladolid,La Liga,20,2004,8.1,1,0,0,3,10,4,24,0,2,0,0,0,20,2,10,16.7
Antonio Sanabria,PAR,FW,Torino,Serie A,28,1996,14.6,2,0,0,16,13,1,0,1,3,1,0,0,24,26,58,31
Oihan Sancet,ESP,MF,Athletic Club,La Liga,24,2000,18,2,0,0,16,24,5,18,5,8,0,0,0,77,12,13,48
Alexis Sánchez,CHI,FW,Udinese,Serie A,35,1988,4.9,0,0,0,4,11,4,8,4,1,0,0,0,17,2,12,14.3
Antonio Sánchez,ESP,"MF,DF",Mallorca,La Liga,27,1997,15.5,3,0,0,24,11,4,33,18,16,0,0,0,77,6,16,27.3
Iván Sánchez,ESP,"MF,FW",Valladolid,La Liga,31,1992,15.6,4,0,0,15,48,3,114,14,20,0,0,0,59,11,11,50
Javi Sánchez,ESP,DF,Valladolid,La Liga,27,1997,22.5,6,0,0,19,3,0,0,22,16,0,2,0,57,34,31,52.3
