player,nation,position,squad,competition,age,born,90s,passes_attempted,liveball_passes,deadball_passes,fk_passes,throughball_passes,switches,crosses,throwins,cornerkicks,inswingingcorners,outswingingcorners,straightcorners,totalpasscomp,passes_offside,passes_blocked
Yaser Asprilla,COL,"FW,MF",Girona,La Liga,20,2003,15.6,653,591,56,15,6,10,93,10,24,16,4,0,471,6,24
Lorenz Assignon,TOG,"DF,MF",Rennes,Ligue 1,24,2000,26.2,1301,1067,228,15,3,5,70,212,1,0,0,0,1015,6,38
Dehmaine Assoumani,FRA,"MF,FW",Nantes,Ligue 1,19,2005,1.1,50,46,4,1,0,0,6,1,1,0,1,0,38,0,2
Valentin Atangana Edoa,FRA,MF,Reims,Ligue 1,18,2005,31.7,1056,1037,13,11,2,0,17,1,0,0,0,0,908,6,14
Arthur Atta,FRA,"MF,FW",Udinese,Serie A,21,2003,13.9,633,609,22,6,1,5,24,11,3,1,2,0,509,2,22
Noah Atubolu,GER,GK,Freiburg,Bundesliga,22,2002,25.6,1140,952,186,60,0,2,0,0,0,0,0,0,849,2,1
Emil Audero,IDN,GK,Como,Serie A,27,1997,8,253,217,36,15,0,0,0,0,0,0,0,0,209,0,0
Tommaso Augello,ITA,DF,Cagliari,Serie A,29,1994,30.1,1640,1264,366,48,0,6,207,261,57,5,51,0,1179,10,50
Carlos Augusto,BRA,DF,Inter,Serie A,25,1999,18.1,1227,1116,109,22,2,2,19,83,0,0,0,0,1083,2,19
Yann Aurel Bisseck,GER,DF,Inter,Serie A,23,2000,17.3,1284,1241,43,20,2,1,8,20,0,0,0,0,1179,0,16
Brandon Austin,ENG,GK,Tottenham,Premier League,25,1999,1,32,24,8,2,0,0,0,0,0,0,0,0,22,0,0
Ezequiel Ávila,ARG,FW,Betis,La Liga,30,1994,7.5,238,215,21,3,0,2,29,10,2,1,1,0,166,2,9
Taiwo Awoniyi,NGA,FW,Nott'ham Forest,Premier League,26,1997,4.6,96,96,0,0,1,0,2,0,0,0,0,0,61,0,4
Yasin Ayari,SWE,MF,Brighton,Premier League,20,2003,21.8,973,880,92,34,10,1,69,3,37,27,6,1,793,1,14
Florian Ayé,FRA,FW,Auxerre,Ligue 1,27,1997,6.4,129,120,8,0,0,1,2,0,0,0,0,0,95,1,5
André Ayew,GHA,FW,Le Havre,Ligue 1,34,1989,16.1,238,196,42,1,0,0,7,3,0,0,0,0,181,0,10
Jordan Ayew,GHA,"FW,MF",Crystal Palace,Premier League,32,1991,0.2,10,8,2,0,0,1,1,0,1,1,0,0,8,0,0
Jordan Ayew,GHA,"FW,MF",Leicester City,Premier League,32,1991,18.2,540,490,49,13,3,2,60,5,28,15,8,3,401,1,11
Neil El Aynaoui,FRA,MF,Lens,Ligue 1,23,2001,17.6,966,881,82,16,4,7,65,3,54,20,30,0,816,3,17
Ayman Azhil,MAR,MF,Dortmund,Bundesliga,23,2001,0.3,4,4,0,0,0,0,0,0,0,0,0,0,3,0,1
Adam Aznou,MAR,DF,Valladolid,La Liga,18,2006,9.7,343,263,76,9,0,0,12,65,2,2,0,0,245,4,12
Adam Aznou,MAR,DF,Bayern Munich,Bundesliga,18,2006,0.2,17,14,2,0,0,0,1,2,0,0,0,0,13,1,0
César Azpilicueta,ESP,DF,Atlético Madrid,La Liga,34,1989,9.7,671,580,91,8,1,3,5,83,0,0,0,0,581,0,4
Paulo Azzi,BRA,DF,Cagliari,Serie A,30,1994,4.7,180,161,19,1,1,0,22,18,0,0,0,0,126,0,4
Oussama El Azzouzi,MAR,MF,Bologna,Serie A,23,2001,0.2,18,17,1,1,0,0,0,0,0,0,0,0,17,0,0
Papa Ba,ESP,MF,Girona,La Liga,19,2004,0.5,13,13,0,0,0,0,1,0,0,0,0,0,5,0,3
Shavy Babicka,GAB,"MF,FW",Toulouse,Ligue 1,24,2000,13.2,292,279,11,1,1,3,39,9,0,0,0,0,196,2,12
Jacopo Bacci,ITA,MF,Empoli,Serie A,19,2005,0.3,11,10,0,0,0,0,0,0,0,0,0,0,6,1,1
Aliou Badara Baldé,GUI,"MF,FW",Bochum,Bundesliga,21,2002,1,20,18,1,0,1,0,4,1,0,0,0,0,11,1,1
